"Year","Month","Date","GTA","Nino1.2SST","Nino1.2SSTAnomalies","Nino3SST","Nino3SSTAnomalies","Nino3.4SST","Nino3.4SSTAnomalies","Nino4SST","Nino4SSTAnomalies","TNI","PNA","OLR","SOI","Season.2.Month.","MEI.v2","Season.3.Month.","ONI","Season.12.Month.","ENSO","SUBDIVISION","Precipitation"
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Uttarakhand",30.3
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Rayalseema",5.9
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Jammu & Kashmir",96.1
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Saurashtra & Kutch",0
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Konkan & Goa",0
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Orissa",21.2
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","West Uttar Pradesh",5.8
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Andaman & Nicobar Islands",0
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Bihar",11.8
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","North Interior Karnataka",6.8
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Gangetic West Bengal",6.5
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Assam & Meghalaya",51.2
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Tamil Nadu",68
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Punjab",25.4
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","West Madhya Pradesh",2
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Sub Himalayan West Bengal & Sikkim",19.6
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","East Madhya Pradesh",27.7
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Gujarat Region",0
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","West Rajasthan",0.3
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","East Rajasthan",0.2
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Coastal Karnataka",1
1950,"FEB","2/1/1950",-0.26,NA,NA,NA,NA,NA,NA,NA,NA,0.445,-1.69,NA,NA,"JF",NA,"JFM",-1.3,"1950-1951","ML","Himachal Pradesh",67
